gene_callers_id	KO_ID	function	sample	coverage	detection
1306759	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St2_S13B	384.9945736434108	1
1306759	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St2_S13M	90.5984496124031	0.7627906976744186
1601181	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13B	11.978902953586498	1
1601181	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13M	0	0
2061765	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13B	11.33898305084746	1
2061765	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13M	0	0
1270286	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	5727.326565143824	1
1270286	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	7407.02538071066	0.9983079526226736
2424048	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	114.97820163487738	1
2424048	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	44.271571298819254	0.48319709355131696
2519190	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	114.05887032617343	1
2519190	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	3.054892601431981	0.0954653937947494
1081191	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	11.32063492063492	1
1081191	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
1878822	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13B	9.543071161048688	1
1878822	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13M	39.77902621722846	0.7790262172284644
599773	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13B	1.7160493827160497	1
599773	K02568	nitrate reductase (cytochrome), electron transfer subunit	St2_S13M	0	0
1764210	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	9.075329566854991	1
1764210	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
40339	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	14.601333333333333	1
40339	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
2206329	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	54.8865836791148	1
2206329	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	92.85753803596128	0.9889349930843708
310667	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	10.482704402515724	0.9779874213836478
310667	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
1961121	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St2_S13B	16.395997893628227	1
1961121	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St2_S13M	23.36756187467088	0.330173775671406
774869	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St2_S13B	317.1085271317829	1
774869	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St2_S13M	24.93798449612403	0.5852713178294574
1080629	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St2_S13B	26.072115384615383	1
1080629	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St2_S13M	0	0
506383	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	4.907918968692449	1
506383	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
391276	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13B	14.613953488372092	0.9689922480620154
391276	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13M	0	0
997108	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13B	5.048309178743962	0.8856682769726248
997108	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13M	0	0
1639940	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	14.650234741784038	1
1639940	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
322701	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	251.78304239401496	1
322701	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	377.3724023275145	0.99833748960931
791462	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	21.07807807807808	1
791462	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
574195	K02305	nitric oxide reductase subunit C	St2_S13B	21.95808383233533	0.9141716566866268
574195	K02305	nitric oxide reductase subunit C	St2_S13M	5.3053892215568865	0.2994011976047904
546096	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13B	13.939516129032258	1
546096	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13M	0	0
742859	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13B	18.953242835595777	1
742859	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St2_S13M	4.072398190045249	0.22624434389140272
583293	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13B	11.185374149659864	1
583293	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St2_S13M	0	0
