gene_callers_id	KO_ID	function	sample	coverage	detection
2143516	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	16.116666666666667	0.9382716049382716
2143516	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	20.710493827160494	0.36604938271604937
89526	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	24.256900212314225	0.989384288747346
89526	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	0	0
357568	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	27.36737089201878	0.999413145539906
357568	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	0	0
143396	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	20.9372852233677	1
143396	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	7.216494845360825	0.12972508591065293
387743	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	191.85851142225496	1
387743	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	82.90714812085483	0.6710881847211987
1567996	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	39.59105619299794	1
1567996	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	12.3474551338629	0.2130038246543101
1912031	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	298.9574468085106	1
1912031	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	204.5309017223911	0.940222897669706
591226	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	56.21290694324402	1
591226	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	0	0
865533	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13B	487.5189282202557	1
865533	K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	St2_S13M	215.19321533923303	0.9434611602753196
