gene_callers_id	KO_ID	function	sample	coverage	detection
940220	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	3038.2495395948436	1
940220	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	12004.94935543278	1
940220	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	2326.9926335174955	1
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	11994.77901234568	1
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	5892.066666666667	1
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	252.0456790123457	0.980246913580247
1656914	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	9.184375	0.721875
1656914	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	14.021875	0.7510416666666667
1656914	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	30.427083333333332	0.7291666666666666
430064	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	1288.0728363324763	1
430064	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	603.1353898886033	0.987146529562982
430064	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	35.29820051413882	0.2819194515852613
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	10843.186626746508	1
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	20992.16367265469	1
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	5862.6556886227545	0.9530938123752496
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	12285.393464052288	1
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	24752.470588235297	1
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	2451.918954248366	1
845486	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14B	82.04091653027824	0.9869067103109656
845486	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14M	17.554282596835787	0.6863066012002182
845486	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14S	0	0
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	739.868544600939	1
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	1711.3333333333333	0.6854460093896714
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	230.74647887323945	0.45422535211267606
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	2542.480519480519	1
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	967.9935064935064	1
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	40.874458874458874	1
888098	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	4977.083576287658	1
888098	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	13838.965986394558	0.9931972789115646
888098	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	1409.396501457726	0.956268221574344
1249493	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14B	58.05840707964602	0.993510324483776
1249493	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14M	1.4920353982300885	0.08377581120943953
1249493	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14S	0	0
254326	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	220.22133333333332	1
254326	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	1.241777777777778	0.4488888888888889
254326	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
155944	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14B	69.44156862745098	1
155944	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14M	2.1176470588235294	0.2352941176470588
155944	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14S	0	0
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	15.863636363636363	1
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	7.148989898989899	0.37626262626262624
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
624237	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14B	39.43627450980392	0.9607843137254902
624237	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14M	0	0
624237	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14S	0	0
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	6728.295957284516	1
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	6164.948893974066	1
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	875.7925247902365	0.9954233409610984
696726	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	15.396174863387978	0.6147540983606558
696726	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	71.60519125683061	0.989071038251366
696726	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	8.396174863387978	0.23770491803278687
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	4680.1136801541425	1
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	17604.950867052023	0.9990366088631984
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	2732.902697495183	0.9807321772639692
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	496.6576576576576	1
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	307.37312312312315	1
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	58.01426426426426	0.7424924924924925
1545927	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	35.29337899543379	1
1545927	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	33.18721461187214	0.7340182648401826
1545927	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	15.44328097731239	0.9904013961605584
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	6.232984293193717	0.6701570680628273
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
103044	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	1.3937282229965158	0.34843205574912894
103044	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	28.20441347270615	0.9814169570267132
103044	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	13.239256678281068	0.5052264808362369
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	4.787037037037037	0.75
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	27.959876543209877	0.9552469135802468
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
600787	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	103.67938237965484	1
600787	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	33.79019073569482	0.9682107175295186
600787	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	34.05020080321285	0.964859437751004
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	32.3925702811245	0.8283132530120482
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	14.070281124497992	0.3865461847389558
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	34.760416666666664	0.8692129629629629
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	10.58912037037037	0.5949074074074074
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1703483	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14B	57.85945548197204	0.9874908020603383
1703483	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14M	2.1876379690949226	0.12950699043414277
1703483	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St3_S14S	0	0
749765	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	23810.007502679528	1
749765	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	36314.15541264737	1
749765	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	13077.808145766345	1
1141487	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	1751.7133105802047	1
1141487	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	1089.0864618885096	0.9977246871444824
1141487	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	45.87258248009101	0.8589306029579067
830637	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	17101.34234234234	0.9981981981981982
830637	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	29621.686486486487	0.9585585585585584
830637	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	4860.72972972973	0.8846846846846846
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	7.598039215686274	0.9084967320261438
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	14.892156862745098	0.8513071895424836
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
