gene_callers_id	KO_ID	function	sample	coverage	detection
1460728	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4B	14.476359338061464	0.925531914893617
1460728	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4M	16.38179669030733	0.735224586288416
1460728	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	0.9929078014184396	0.06619385342789598
854256	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	11.416666666666666	0.9311594202898552
854256	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	3.3309178743961354	0.6799516908212561
854256	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	5.3478260869565215	0.3079710144927536
1843086	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	955.015325670498	1
1843086	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	1349.0421455938697	1
1843086	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	266.6704980842912	0.9655172413793104
441287	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	145.19407008086253	1
441287	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	279.38814016172506	1
441287	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	10.426774483378257	0.35399820305480684
528599	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4B	1780.682316118936	1
528599	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4M	1350.2175273865414	1
528599	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4S	893.7159624413146	1
1705673	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	344.4583333333333	0.9989837398373984
1705673	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	682.0182926829268	0.9989837398373984
1705673	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	178.385162601626	0.931910569105691
1462613	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4B	447.6115485564304	1
1462613	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4M	553.5695538057743	1
1462613	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	166.35433070866142	1
26013	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	12.495169082125605	0.9384057971014492
26013	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	12.818840579710145	0.8756038647342995
26013	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	15.18599033816425	0.6268115942028986
54111	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	52.27225130890052	1
54111	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	25.03315881326353	0.9738219895287958
54111	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	6.806282722513089	0.3542757417102967
1306579	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	1664.16354556804	1
1306579	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	1533.003745318352	1
1306579	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	344.85393258426967	1
891404	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	105.69444444444444	1
891404	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	84.29305555555555	1
891404	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	24.154166666666665	0.4652777777777778
994614	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	1.9337016574585637	0.27624309392265195
994614	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	17.482504604051567	0.9116022099447514
994614	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	0	0
813995	K10535	hydroxylamine dehydrogenase [EC:1.7.2.6]	St1_S4B	19.61919504643963	1
813995	K10535	hydroxylamine dehydrogenase [EC:1.7.2.6]	St1_S4M	16.30546955624355	0.8555211558307534
813995	K10535	hydroxylamine dehydrogenase [EC:1.7.2.6]	St1_S4S	9.673890608875128	0.3560371517027864
433983	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4B	8190.775430359938	1
433983	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4M	7206.544600938967	1
433983	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4S	2536.752738654147	1
1322977	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	439.6379928315412	1
1322977	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	690.926523297491	1
1322977	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	166.83512544802866	0.9838709677419356
787797	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	14056.320512820514	1
787797	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	13404.485347985348	1
787797	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	8741.021978021978	1
787798	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4B	13228.429602888087	1
787798	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4M	9069.93501805054	1
787798	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	3832.279181708785	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	16223.036231884058	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	32930.335144927536	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	3152.751811594203	0.9764492753623188
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	2368.440329218107	1
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	2403.3343621399176	1
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	1121.875514403292	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	689.896265560166	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	1204.789764868603	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	165.6265560165975	0.9723374827109268
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4B	8.393162393162394	0.9943019943019944
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4M	2.1623931623931623	0.7207977207977208
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	0	0
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	44.5511432009627	1
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	22.45006016847172	1
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	5.565583634175692	0.4536702767749699
528303	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	8709.778929188256	1
528303	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	10441.981001727116	1
