Gene_ID,KO,St2_S13B_coverage,St2_S13M_coverage
931374,K00368,10.08097928,0
918819,K00368,15.68449198,0
1418801,K00368,163.5407027,43.35646958
1738715,K00368,43.83105023,0
2523618,K00368,41.42553191,11.63652482
2113065,K00368,22.97133758,12.41932059
786120,K00368,216.5067751,0
2206329,K00368,54.88658368,92.85753804
1618381,K00368,26.37442922,5.561643836
1590745,K00368,99.8365651,45.48014774
1584359,K00368,42.59625468,44.67865169
2424048,K00368,114.9782016,44.2715713
414561,K00368,4494.638528,5765.919192
435135,K00368,70.34745763,21.37641243
2362307,K00368,710.1470588,542.3333333
541901,K00368,3614.315831,2636.428799
531120,K00368,36.82603816,11.94612795
562266,K00368,2.187793427,0
322701,K00368,251.7830424,377.3724023
630301,K00368,974.4511971,969.3305709
574423,K00368,92.6695279,196.611588
2171711,K00368,14.44240196,0
877233,K00368,89.63661202,180.0532787
1185798,K00368,28.05059524,32.22767857
1624701,K00368,93.27224009,0
666396,K00368,623.026455,720.0867725
837789,K00368,43830.05101,38809.43955
2290077,K00368,9119.11418,8907.052486
1696038,K00368,54.1427256,5.196132597
2458663,K00368,17.06441224,0
719725,K00368,26.34636872,0
174546,K00368,50.02417962,10.36096718
168770,K00368,3125.794372,3178.601732
463269,K00368,26.41910331,27.78362573
506383,K00368,4.907918969,0
798212,K00368,10.5,0
985890,K00368,47.27218935,0
1270286,K00368,5727.326565,7407.025381
1480719,K00368,27.66599732,0
1521983,K00368,57.01576577,73.18018018
1561147,K00368,18.98839662,0
1639940,K00368,14.65023474,0
1850275,K00368,7.916666667,0.634328358
1866615,K00368,163.4917127,7.604051565
2172851,K00368,81.96275605,83.78026071
2519190,K00368,114.0588703,3.054892601
1603792,K15864,29.66367445,0
1631676,K15864,10.63901019,0
2005999,K15864,18.36507937,0
211939,K20932,70.10910308,9.409638554
1757114,K20932,29.93526171,21.4600551
967270,K20934,45.53097345,22.50029499
57397,K20934,110.8255261,19.01154107
143245,K20934,30.75,0
487771,K20934,79.50368324,17.80478821
555311,K20934,19.95454545,15.0199362
1044587,K20934,21.90652557,0
1221553,K20934,59.47145488,54.12983425
