gene_callers_id	KO_ID	function	sample	coverage	detection
967270	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	45.530973451327434	0.9958702064896756
967270	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	22.500294985250736	0.6117994100294986
1561147	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	18.988396624472575	1
1561147	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
1185798	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	28.050595238095237	0.9955357142857144
1185798	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	32.22767857142857	0.6592261904761905
1270286	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	5727.326565143824	1
1270286	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	7407.02538071066	0.9983079526226736
435135	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	70.34745762711864	1
435135	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	21.37641242937853	0.326271186440678
1757114	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	29.935261707988985	0.9387052341597796
1757114	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	21.46005509641873	0.3712121212121212
1866615	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	163.49171270718233	0.996316758747698
1866615	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	7.6040515653775325	0.23941068139963168
143245	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	30.75	1
143245	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	0	0
1603792	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13B	29.66367444643926	1
1603792	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13M	0	0
798212	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	10.5	1
798212	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
931374	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	10.080979284369114	1
931374	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
1639940	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	14.650234741784038	1
1639940	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
1696038	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	54.1427255985267	1
1696038	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	5.196132596685083	0.14825046040515655
1850275	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	7.916666666666667	1
1850275	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0.6343283582089553	0.10572139303482588
541901	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	3614.315831344471	1
541901	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	2636.428798727128	1
2424048	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	114.97820163487738	1
2424048	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	44.271571298819254	0.48319709355131696
1044587	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	21.90652557319224	1
1044587	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	0	0
168770	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	3125.7943722943724	1
168770	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	3178.601731601731	1
1590745	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	99.83656509695292	1
1590745	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	45.48014773776546	0.5623268698060941
487771	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	79.5036832412523	0.9972375690607734
487771	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	17.804788213627994	0.4244935543278085
211939	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	70.1091030789826	1
211939	K20932	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	9.409638554216867	0.13654618473895583
1631676	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13B	10.63901018922853	0.9213973799126638
1631676	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13M	0	0
2171711	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	14.442401960784316	1
2171711	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
531120	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	36.82603815937149	0.9292929292929292
531120	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	11.946127946127946	0.3176206509539843
666396	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	623.026455026455	1
666396	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	720.0867724867725	0.9777777777777776
837789	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	43830.05101327743	1
837789	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	38809.439552760305	1
2362307	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	710.1470588235294	1
2362307	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	542.3333333333334	0.996078431372549
322701	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	251.78304239401496	1
322701	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	377.3724023275145	0.99833748960931
562266	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	2.187793427230047	0.9953051643192488
562266	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
786120	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	216.50677506775068	1
786120	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
1480719	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	27.665997322623827	0.9812583668005356
1480719	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
2005999	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13B	18.365079365079364	1
2005999	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	St2_S13M	0	0
2523618	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	41.42553191489362	1
2523618	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	11.636524822695035	0.26595744680851063
1418801	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	163.5407026563839	1
1418801	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	43.35646958011996	0.5424164524421594
1584359	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	42.59625468164794	1
1584359	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	44.678651685393255	0.7737827715355805
463269	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	26.419103313840157	0.8323586744639376
463269	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	27.783625730994153	0.4619883040935672
2172851	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	81.96275605214153	0.9739292364990688
2172851	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	83.78026070763501	0.925512104283054
555311	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	19.954545454545453	1
555311	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	15.019936204146733	0.18022328548644337
877233	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	89.63661202185793	1
877233	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	180.0532786885246	0.9617486338797814
1738715	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13B	43.8310502283105	1
1738715	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St2_S13M	0	0
57397	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13B	110.8255261371351	1
57397	K20934	hydrazine synthase subunit [EC:1.7.2.7]	St2_S13M	19.01154107264087	0.48676171079429736
