gene_id,KO,St2_S13B_coverage,St2_S13M_coverage
931374,K00368,10.08097928,0
918819,K00368,15.68449198,0
1418801,K00368,163.5407027,43.35646958
1738715,K00368,43.83105023,0
2523618,K00368,41.42553191,11.63652482
2113065,K00368,22.97133758,12.41932059
786120,K00368,216.5067751,0
2206329,K00368,54.88658368,92.85753804
1618381,K00368,26.37442922,5.561643836
1590745,K00368,99.8365651,45.48014774
1584359,K00368,42.59625468,44.67865169
2424048,K00368,114.9782016,44.2715713
414561,K00368,4494.638528,5765.919192
435135,K00368,70.34745763,21.37641243
2362307,K00368,710.1470588,542.3333333
541901,K00368,3614.315831,2636.428799
531120,K00368,36.82603816,11.94612795
562266,K00368,2.187793427,0
322701,K00368,251.7830424,377.3724023
630301,K00368,974.4511971,969.3305709
574423,K00368,92.6695279,196.611588
2171711,K00368,14.44240196,0
877233,K00368,89.63661202,180.0532787
1185798,K00368,28.05059524,32.22767857
1624701,K00368,93.27224009,0
666396,K00368,623.026455,720.0867725
837789,K00368,43830.05101,38809.43955
2290077,K00368,9119.11418,8907.052486
1696038,K00368,54.1427256,5.196132597
2458663,K00368,17.06441224,0
719725,K00368,26.34636872,0
174546,K00368,50.02417962,10.36096718
168770,K00368,3125.794372,3178.601732
463269,K00368,26.41910331,27.78362573
506383,K00368,4.907918969,0
798212,K00368,10.5,0
985890,K00368,47.27218935,0
1270286,K00368,5727.326565,7407.025381
1480719,K00368,27.66599732,0
1521983,K00368,57.01576577,73.18018018
1561147,K00368,18.98839662,0
1639940,K00368,14.65023474,0
1850275,K00368,7.916666667,0.634328358
1866615,K00368,163.4917127,7.604051565
2172851,K00368,81.96275605,83.78026071
2519190,K00368,114.0588703,3.054892601
210469,K00370,350.6987879,96.53939394
659566,K00370,98.9955397,46.66488255
912139,K00370,15.96153846,14.37464387
2065205,K00370,61.61120739,0
344188,K00371,8.097674419,0
343404,K00371,85.3372457,11.39123631
419316,K00371,1270.893733,401.2161671
594548,K00371,44.55320814,0.015649452
659565,K00371,30.88531353,79.3869637
677555,K00371,89.771518,50.80203443
686644,K00371,52.342723,0.112676056
774869,K00371,317.1085271,24.9379845
937882,K00371,2431.673155,801.0129765
1014350,K00371,121.0508607,0
1094781,K00371,15727.84742,8005.466354
1306759,K00371,384.9945736,90.59844961
1824372,K00371,384.4372093,52.99224806
2065206,K00371,56.6314554,0
2085985,K00371,7659.476526,4453.226135
2096924,K00371,389.6557121,261.8450704
2241189,K00371,2560.977308,730.6979656
2332334,K00371,99.98669797,14.76995305
1956955,K00376,12.60383944,0
1708452,K00376,16.28240741,0
161373,K00376,18.08831909,0
791462,K00376,21.07807808,0
1787011,K00376,24.12714777,0
1987182,K00376,14.47080979,0
2391504,K00376,41.6281362,0
598544,K00376,16.27284427,0
393052,K00376,13.38222222,0
40339,K00376,14.60133333,0
163373,K00376,16.59153005,38.95491803
189553,K00376,11.01996928,0
310667,K00376,10.4827044,0
534673,K00376,6.505050505,0
583293,K00376,11.18537415,0
631195,K00376,8.440251572,0
841939,K00376,10.83079526,0
1081191,K00376,11.32063492,0
1204882,K00376,8.83127572,0
1425850,K00376,8.342239186,0
1764210,K00376,9.075329567,0
1825774,K00376,17.02,0
1874322,K00376,7.852852853,0
2430721,K00376,23.35909091,19.52424242
524270,K02305,27.62666667,0
744452,K02305,7.520710059,0.591715976
2106842,K02305,10.49768519,0
288202,K02305,18.1984127,25.03571429
574195,K02305,21.95808383,5.305389222
371414,K02305,18.94098884,0.23923445
865141,K02305,9.940409683,0
854645,K02305,29.91111111,0
2343082,K02305,16.41278066,5.699481865
813369,K02305,23.37530864,0
1590238,K02305,5.023121387,20.88631985
1961121,K02567,16.39599789,23.36756187
1080629,K02567,26.07211538,0
2013728,K02567,9.626436782,0
915792,K02568,17.2781457,0
1421858,K02568,10.70765027,0
1435882,K02568,14.31944444,0
2530302,K02568,16.27702703,20.26126126
965607,K02568,12.48830409,0
2015867,K02568,4.111111111,0
1991999,K02568,21.11585366,0
2061765,K02568,11.33898305,0
2412112,K02568,14.44642857,0
1878822,K02568,9.543071161,39.77902622
599773,K02568,1.716049383,0
659599,K02568,25.65168539,0
678080,K02568,3.640522876,0
1240323,K04561,10.27217125,16.97247706
1022160,K04561,16.6618123,2.184466019
496996,K04561,12.02609428,17.42340067
742859,K04561,18.95324284,4.07239819
773984,K04561,9.298449612,0
2572937,K04561,22.63967611,0
1821176,K04561,17.36630037,0
2210362,K04561,38.83107498,12.73170732
2018951,K04561,21.55458515,0
1601181,K04561,11.97890295,0
2425700,K04561,23.40338983,0
2422413,K04561,18.74483776,0
2388297,K04561,12.55753968,79.94642857
120712,K04561,28.89402697,10.32755299
98994,K04561,13.86149163,0
546096,K04561,13.93951613,0
391276,K04561,14.61395349,0
22156,K04561,4.822764228,17.16747967
838930,K04561,11.23143351,0
1688715,K04561,14.24829932,0
997108,K04561,5.048309179,0
1883166,K04561,12.88095238,0
1966268,K04561,29.10701754,0
1603792,K15864,29.66367445,0
1631676,K15864,10.63901019,0
2005999,K15864,18.36507937,0
