Gene_ID,KO,St3_S14B_coverage,St3_S14M_coverage,St3_S14S_coverage
940220,K00368,3038.24954,12004.94936,2326.992634
1141487,K00368,1751.713311,1089.086462,45.87258248
696726,K00368,15.39617486,71.60519126,8.396174863
1791053,K00368,34.76041667,10.58912037,0
1524063,K00368,4680.11368,17604.95087,2732.902697
103044,K00368,1.393728223,28.20441347,13.23925668
1603484,K00368,6728.295957,6164.948894,875.7925248
1738209,K00368,7.598039216,14.89215686,0
1545927,K00368,35.293379,33.18721461,0
1688623,K00368,11994.77901,5892.066667,252.045679
1397102,K00368,24.0970948,13.21941896,3.301223242
254326,K00368,220.2213333,1.241777778,0
259217,K00368,4.787037037,27.95987654,0
600787,K00368,103.6793824,33.79019074,0
591293,K00368,15.86363636,7.148989899,0
430064,K00368,1288.072836,603.1353899,35.29820051
161749,K00368,34.0502008,32.39257028,14.07028112
158371,K00368,10843.18663,20992.16367,5862.655689
1833581,K00368,496.6576577,307.3731231,58.01426426
492060,K00368,6.766045549,6.701863354,0
603080,K00368,12285.39346,24752.47059,2451.918954
749765,K00368,23810.0075,36314.15541,13077.80815
830637,K00368,17101.34234,29621.68649,4860.72973
888098,K00368,4977.083576,13838.96599,1409.396501
1012201,K00368,8.577464789,19.54929577,0
1017872,K00368,2542.480519,967.9935065,40.87445887
1265105,K00368,739.8685446,1711.333333,230.7464789
1375753,K00368,15.44328098,6.232984293,0
1656914,K00368,9.184375,14.021875,30.42708333
1249493,K20932,58.05840708,1.492035398,0
1703483,K20932,57.85945548,2.187637969,0
845486,K20934,82.04091653,17.5542826,0
155944,K20934,69.44156863,2.117647059,0
624237,K20934,39.43627451,0,0
