Gene_ID,KO,St3_S14B_coverage,St3_S14M_coverage,St3_S14S_coverage
940220,K00368,3038.24954,12004.94936,2326.992634
1141487,K00368,1751.713311,1089.086462,45.87258248
696726,K00368,15.39617486,71.60519126,8.396174863
1524063,K00368,4680.11368,17604.95087,2732.902697
103044,K00368,1.393728223,28.20441347,13.23925668
1603484,K00368,6728.295957,6164.948894,875.7925248
1688623,K00368,11994.77901,5892.066667,252.045679
1397102,K00368,24.0970948,13.21941896,3.301223242
430064,K00368,1288.072836,603.1353899,35.29820051
161749,K00368,34.0502008,32.39257028,14.07028112
158371,K00368,10843.18663,20992.16367,5862.655689
1833581,K00368,496.6576577,307.3731231,58.01426426
603080,K00368,12285.39346,24752.47059,2451.918954
749765,K00368,23810.0075,36314.15541,13077.80815
830637,K00368,17101.34234,29621.68649,4860.72973
888098,K00368,4977.083576,13838.96599,1409.396501
1017872,K00368,2542.480519,967.9935065,40.87445887
1265105,K00368,739.8685446,1711.333333,230.7464789
1656914,K00368,9.184375,14.021875,30.42708333
1514788,K00370,1.186602871,11.05023923,21.74561404
1517667,K00371,6.982789855,4.379528986,17.39311594
1063936,K00371,17.73977695,4.4622057,20.10037175
384530,K00371,318.7276995,84.79655712,5.812989045
413339,K00371,919.4878254,1081.890848,74.06801008
727004,K00371,1970.407668,3632.484351,90.00156495
856298,K00371,57.31317829,90.47984496,18.16511628
1386808,K00371,4.225574713,10.38362069,42.01436782
1807011,K00371,9006.748268,16658.33025,488.6474211
1137166,K00374,7.052141527,11.41527002,3.910614525
1749377,K00374,15.86666667,28.42222222,14.24259259
1386807,K00374,0.751879699,9.904761905,2.842105263
