gene_callers_id	KO_ID	function	sample	coverage	detection
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	12285.393464052288	1
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	24752.470588235297	1
603080	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	2451.918954248366	1
1391774	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St3_S14B	15.666666666666666	1
1391774	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St3_S14M	0	0
1391774	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St3_S14S	0	0
413339	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	919.487825356843	1
413339	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	1081.890848026868	0.9890848026868178
413339	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	74.06801007556675	0.852225020990764
1575082	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	77.41940532081377	1
1575082	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	23.331768388106415	0.8028169014084507
1575082	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	0	0
727004	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	1970.407668231612	1
727004	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	3632.48435054773	1
727004	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	90.00156494522692	1
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	6728.295957284516	1
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	6164.948893974066	1
1603484	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	875.7925247902365	0.9954233409610984
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	11994.77901234568	1
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	5892.066666666667	1
1688623	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	252.0456790123457	0.980246913580247
402365	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	13.24896265560166	1
402365	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	0	0
402365	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	0	0
1012201	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	8.577464788732394	0.7535211267605634
1012201	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	19.549295774647888	0.976525821596244
1012201	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
